g3bp gfp cvb smnpc,,,,,,,,,,,,,,
spectrum rewashed,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,first plate,,,,,,,,,,,,,
first well,0.114814446,0.193864948,0.129479332,0.185006708,0.190839804,0.17598165,0.206425918,0.191906107,0.16925502,0.184132772,0.183860229,0.177640104,0.195734697,0.179616005
,0.095610108,0.214525658,0.191803373,0.178512066,0.180099333,0.181344033,0.206490921,0.188048617,0.166480422,0.200844364,0.182298395,0.180564764,0.171517724,0.165645407
,0.074822203,0.186634647,0.173314003,0.175715057,0.1691167,0.186991461,0.172553354,0.118042889,0.187032644,0.139671097,0.173550969,0.168256609,0.168432365,0.166423707
,0.090218886,0.186768919,0.208069279,0.173800652,0.187477704,0.183169466,0.194177525,0.146289901,0.171608772,0.1818428,0.177482809,0.189699757,0.188408011,0.174091213
,0.069096179,0.185048861,0.199392833,0.134242713,0.194596451,0.167382844,0.196105596,0.19392597,0.157323324,0.169526546,0.133774616,0.17729371,0.186453306,0.164290725
,0.088024614,0.1943824,0.14830859,0.169920675,0.111166302,0.125279824,0.196031809,0.176137904,0.137878861,0.174305365,0.166116682,0.178872202,0.179590925,0.166420353
,0.085692928,0.181008942,0.195627385,0.172067791,0.133653412,0.171418531,0.187492579,0.182896291,0.129012143,0.134057851,0.147609488,0.175277383,0.180837854,0.179407106
,0.17569968,0.177456453,0.186350828,0.16317815,0.176820354,0.149454042,0.17898473,0.27211325,0.147938553,0.161717016,0.152141821,0.159063437,0.166181769,0.166825059
,0.100101669,0.185514823,0.18487347,0.180568056,0.179830724,0.169795484,0.178062229,0.16638581,0.166524455,0.166965907,0.174606661,0.155954278,0.143351261,0.154910063
,0.102110245,0.218704647,0.177128228,0.161086166,0.182077538,0.130178946,0.20075527,0.194406535,0.192988101,0.180221282,0.187128482,0.163360107,0.191440953,0.198298287
,0.101605698,0.194395404,0.194644023,0.183237483,0.171807,0.183026715,0.179705464,0.182327763,0.171888803,0.17779054,0.174717475,0.158647449,0.159006375,0.175432737
,0.102799499,0.205891118,0.215474804,0.199809828,0.180191785,0.207516277,0.148423487,0.202272544,0.187264743,0.190848087,0.17002311,0.177854739,0.199655676,0.186303527
,0.106432567,0.201139691,0.204820483,0.18087023,0.142782924,0.158848798,0.17410709,0.205366496,0.174151929,0.180330995,0.180000022,0.160537797,0.161177696,0.167430054
,0.093367775,0.212785032,0.202125921,0.161234651,0.190065397,0.188816042,0.188617404,0.162716108,0.166728879,0.175684448,0.168824206,0.16998937,0.145202086,0.169426077
,0.090491974,0.218494654,0.136530968,0.163587387,0.176188393,0.192415685,0.203141968,0.190936122,0.177904147,0.159725791,0.173961685,0.175362765,0.193864176,0.184470472
,0.094738518,0.205165271,0.202172411,0.181830182,0.126503385,0.171793454,0.140604165,0.211257799,0.164326404,0.166925415,0.166751351,0.168494237,0.174607905,0.171973514
,0.087263202,0.178320638,0.203790388,0.174369566,0.170867372,0.16749603,0.189832515,0.172124041,0.160476172,0.148962997,0.165439686,0.163075644,0.174436914,0.172110842
,0.088747205,0.192491826,0.213447159,0.135737013,0.166165129,0.181858825,0.161135306,0.151695807,0.159242377,0.123717515,0.105704167,0.178037615,0.185670018,0.179327348
,0.101729833,0.189574159,0.190747888,0.111770462,0.178982955,0.168954086,0.192189257,0.185152884,0.168522015,0.170428831,0.199561432,0.166997733,0.162069774,0.166182688
,0.100001847,0.192974416,0.190110692,0.183540549,0.207801861,0.183969988,0.212269717,0.186820217,0.164279625,0.159674876,0.183143994,0.171875939,0.208305388,0.16608393
,0.098567886,0.192038586,0.212486296,0.19299741,0.192788064,0.190437998,0.2086055,0.190823931,0.179727224,0.165920664,0.185863864,0.176609279,0.206408244,0.183073612
,0.115357683,0.205697242,0.231842906,0.182292346,0.192591276,0.185922289,0.22497514,0.203501917,0.159660274,0.168664262,0.174391,0.185058745,0.203740729,0.199267066
,0.118133571,0.192560722,0.201129226,0.167667895,0.180823087,0.171203861,0.206450761,0.186598308,0.174841309,0.174596253,0.168870221,0.1783776,0.192233483,0.185634268
,0.110658589,0.186306407,0.164325963,0.151967997,0.171469285,0.177650749,0.182761819,0.170225812,0.164134869,0.13520277,0.167056595,0.127560719,0.19751915,0.191173834
,0.112165152,0.149355112,0.175680965,0.149670556,0.170384754,0.179701473,0.176870245,0.192914315,0.145542004,0.16698104,0.171590814,0.180593359,0.182969749,0.149059532
,0.105132043,0.200648293,0.188668327,0.181669954,0.202293038,0.195030763,0.209117095,0.201839133,0.184595736,0.18986979,0.186939168,0.188189837,0.182120536,0.166006711
,0.097823762,0.192826117,0.189705679,0.169458994,0.203296465,0.167044148,0.188763669,0.186120656,0.178198642,0.189212254,0.17998076,0.16737269,0.191959428,0.18558378
,0.109560373,0.201110461,0.20058876,0.176574806,0.198038951,0.143299437,0.194021842,0.195229355,0.191686651,0.191393294,0.177324652,0.184535405,0.198441534,0.177148068
,0.112043795,0.191820394,0.20065546,0.188846677,0.17711379,0.183055252,0.202637244,0.181392253,0.184298477,0.189742973,0.158533411,0.174039011,0.201191837,0.173125935
,0.102882346,0.181313326,0.209552909,0.181662236,0.198113109,0.187571425,0.194213062,0.193920005,0.189410783,0.183190804,0.188146565,0.192093147,0.193633207,0.199470123
,0.089635517,0.201968257,0.195034772,0.15987686,0.193684579,0.165178563,0.195830867,0.191046189,0.175853915,0.180376027,0.167131094,0.180036356,0.136926499,0.174595515
,0.088902665,0.188497922,0.201990518,0.151218654,0.194037622,0.131093611,0.211823726,0.206845481,0.16474726,0.173819002,0.156851291,0.158833633,0.164362075,0.183602818
,0.103523462,0.193946477,0.201692868,0.174842471,0.195886755,0.185559699,0.180483133,0.197310733,0.184380126,0.169858541,0.173335218,0.188006231,0.192038646,0.196666792
,0.100026159,0.208333367,0.214703341,0.191310392,0.20498033,0.183824336,0.194950811,0.217738075,0.182007096,0.185889821,0.18937619,0.17643301,0.212589776,0.200903697
,0.100462505,0.201427836,0.18436632,0.170159439,0.202075035,0.182578502,0.207722329,0.203550047,0.180893496,0.185080127,0.172591859,0.18919095,0.197698167,0.194566362
,0.108202129,0.20080112,0.169679573,0.213111949,0.187823135,0.175196127,0.205453788,0.201676676,0.191484676,0.189061966,0.132310517,0.211777661,0.201410491,0.202654145
,0.099868296,0.206361047,0.214802079,0.198132532,0.199169138,0.209030817,0.18278199,0.19833907,0.189592756,0.186029535,0.186361851,0.201654457,0.190655613,0.178976028
,0.114908941,0.187477112,0.204548865,0.182721543,0.199856225,0.173225591,0.180199672,0.197198778,0.185527699,0.198875385,0.196459718,0.199141406,0.184739914,0.198377529
,0.093773807,0.198325123,0.203249548,0.192210607,0.180358134,0.208551345,0.197908433,0.182269264,0.187009969,0.159862588,0.173640908,0.201230996,0.183478124,0.19101348
,0.105930418,0.20488332,0.243618387,0.197809301,0.211688746,0.183720653,0.214455279,0.208180171,0.194907024,0.173476958,0.17872359,0.199733023,0.189923719,0.188109535
,0.032106772,0.180689675,0.213566185,0.179099775,0.203596917,0.167183846,0.202613935,0.111486556,0.161912339,0.161246945,0.164203726,0.167048204,0.185385699,0.148734515
,0.102912528,0.147872001,0.206226501,0.182186783,0.146446996,0.20424474,0.201554896,0.20365889,0.185926785,0.183529548,0.173852763,0.17604298,0.182854718,0.191261519
,0.105371745,0.167014773,0.181163572,0.200488524,0.216584421,0.192343441,0.204784536,0.205565619,0.182326613,0.182041008,0.183104098,0.190316286,0.198075733,0.186378654
,0.092871811,0.198007976,0.207603342,0.205608992,0.218777452,0.191391658,0.183183527,0.218764994,0.194447935,0.191144834,0.173537882,0.185410789,0.20286308,0.1981233
,0.131825752,0.204615631,0.171481295,0.205374538,0.172191631,0.201295798,0.226637902,0.202707515,0.191223493,0.182104115,0.147522307,0.188414669,0.195228404,0.180683861
,0.126317333,0.200564166,0.163501071,0.193698007,0.214633093,0.170453446,0.220595794,0.204009483,0.188300085,0.18573426,0.18411922,0.175297014,0.201990412,0.191290944
,0.131652354,0.203928197,0.22145253,0.193580711,0.183606963,0.13091014,0.211282233,0.202861772,0.184361313,0.193201683,0.199887621,0.197898501,0.216105798,0.204836429
,0.092015516,0.167709353,0.175169559,0.154970746,0.171420646,0.137405462,0.176745042,0.181581958,0.139651952,0.149438413,0.165311769,0.159201927,0.171363083,0.157776732
,0.077647889,0.211298673,0.174967671,0.185523533,0.189271449,0.19459607,0.19763899,0.193183617,0.190391847,0.16532091,0.170500845,0.18192072,0.195964744,0.186727776
,0.121550921,0.207297558,0.197042429,0.201384821,0.194975103,0.195054999,0.208271561,0.179970358,0.186913202,0.188765187,0.188673129,0.209101112,0.191178784,0.199303065
,0.119018871,0.214234964,0.185016316,0.171986987,0.18546052,0.169173914,0.183651394,0.177469316,0.187220292,0.164464704,0.186396583,0.216179135,0.19894164,0.190010794
,0.102389496,0.205804556,0.218600144,0.176401242,0.192419213,0.191516746,0.168620828,0.187105365,0.184476434,0.210906129,0.192371606,0.198317587,0.20910854,0.19649682
,0.108430606,0.20340555,0.163980036,0.187444132,0.181024023,0.184392751,0.136197588,0.192839222,0.192368329,0.198362448,0.192587302,0.203225413,0.186735638,0.196289883
,0.106248767,0.200313188,0.201391745,0.189571013,0.184332374,0.184494782,0.189655547,0.185165883,0.179456282,0.205314873,0.144514868,0.188526425,0.204037634,0.198435451
,0.106457682,0.190029099,0.13893591,0.190022582,0.186471134,0.183042169,0.194664683,0.193143792,0.183043693,0.196718307,0.196717847,0.167859274,0.178613196,0.195883809
,0.080868434,0.181162898,0.193776839,0.119755631,0.177911669,0.162705319,0.17063052,0.179593716,0.169624188,0.161324246,0.181497589,0.159289737,0.17624316,0.178456545
,0.110879524,0.204872185,0.204669923,0.131822421,0.20217629,0.20395019,0.21319159,0.143443076,0.18075229,0.199856082,0.182750083,0.185153383,0.193186599,0.22824142
,0.065211305,0.198466851,0.217250897,0.207074459,0.188147486,0.184102268,0.211333433,0.179970266,0.198175815,0.204324844,0.177770461,0.196722276,0.20006051,0.194251432
,0.109161538,0.19431879,0.209913532,0.218255557,0.199604096,0.195810849,0.184972155,0.191632463,0.195758424,0.203460241,0.179129923,0.18759649,0.202036738,0.195557706
